glottocode,language,iso,level,area,latitude,longitude,countries,affiliation,subclassification,family,endangerment,my_annotation
gily1242,Amur Nivkh,niv,language,Eurasia,52.59,140.681,RU,Nivkh,"(Amur-West_Sakhalin_Nivkh:1,North_Sakhalin_Nivkh:1)gily1242:1;",Nivkh,moribund,
mand1415,Mandarin Chinese,cmn,language,Eurasia,40.0209,116.228,CN;KP;LA;MM;MN;RU;TW;VN,"Sino-Tibetan, Sinitic, Classical-Middle-Modern Sinitic, Middle-Modern Sinitic, Northern Chinese, Mandarinic","((Beijing_Mandarin:1,Taibei_Mandarin:1)beij1235:1,(Xi'an_Mandarin:1,Xining_Mandarin:1,Zhengzhou_Mandarin:1)huab1238:1,(Hefei_Mandarin:1,Nanjing_Mandarin:1)jing1262:1,(Jinan_Mandarin:1,Tianjin_Mandarin:1)jilu1239:1,(Lanzhou_Mandarin:1,Wulumuqi_Mandarin:1,Yinchuan_Mandarin:1)xibe1241:1,Ningxia_Mandarin:1,(Ha'erbin_Mandarin:1,Shenyang_Mandarin:1)nort3283:1,Qingdao_Mandarin:1,Rongcheng_Mandarin:1,(Chengdu_Mandarin:1,Guiyang_Mandarin:1,Kunming_Chinese:1,Wuhan_Mandarin:1)xina1239:1,Yangzhou_Mandarin:1,Yingshan_Mandarin:1,Yuci_Mandarin:1)mand1415:1;",Sino-Tibetan,not endangered,remove
arma1243,Arman,,language,Eurasia,59.67099,150.13239,RU,"Tungusic, Northeastern Tungusic, Northern Tungusic, Ewenic",(Arman:1);,Tungusic,extinct,remove
nana1257,Nanai,gld,language,Eurasia,48.43426,134.79726,CN;RU,"Tungusic, Central-Western Tungusic","(Lower_Ussuri:1,((Bolon_Nanai:1,Dzhuen:1,Torgon:1)cent2414:1,(Bicin:1,Samar:1)gari1257:1)akan1248:1,Sakachi-Alyan:1)nana1257:1;",Tungusic,moribund,
oroq1238,Oroqen,orh,language,Eurasia,50.6319,125.017,CN;RU,"Tungusic, Northeastern Tungusic, Northern Tungusic","(Central_Oroqen:1,Northeastern_Oroqen:1,(Birar:1,Shengli:1)heil1245:1,Western_Oroqen:1)oroq1238:1;",Tungusic,moribund,
kile1243,Kilen,,language,Eurasia,47.585,132.48,CN;RU,"Tungusic, Northeastern Tungusic, Central-Eastern Tungusic","(Kili_of_Amur:1,Sungari:1,Upper_Ussuri:1)kile1243:1;",Tungusic,moribund,remove
even1260,Even,eve,language,Eurasia,70.6687,130.914,RU,"Tungusic, Northeastern Tungusic, Northern Tungusic, Ewenic","((Berjozovka:1,Kamchatka:1,Kolyma-Omolon:1,Okhotsk:1,Ola:1,Sakkyryr:1,Upper_Kolyma:1)east2811:1,(Allaikha:1,Moma_Even:1,Tompon:1)midd1358:1,(Indigirka:1,Lamunkhin:1,Tjugasjir:1)west2887:1)even1260:1;",Tungusic,moribund,
negi1245,Negidal,neg,language,Eurasia,52.96584,139.20575,RU,"Tungusic, Northeastern Tungusic, Northern Tungusic, Negidalic","(Nizovsk:1,Samagir:1,Verkhovsk:1)negi1245:1;",Tungusic,moribund,
oroc1248,Oroch,oac,language,Eurasia,50.32354,137.85131,RU,"Tungusic, Northeastern Tungusic, Central-Eastern Tungusic, Oroch-Udihe","(Kjakela:1,Namunka:1,Orichen:1,Tez:1)oroc1248:1;",Tungusic,moribund,
manc1252,Manchu,mnc,language,Eurasia,47.31225,126.55713,CN;RU,"Tungusic, Manchu-Jurchen, Manchu-Xibe","(Alechuxa:1,Bala_-China:1,Jing:1,Lalin:1)manc1252:1;",Tungusic,nearly extinct,remove
orok1265,Orok,oaa,language,Eurasia,49.36393,143.12819,JP;RU,"Tungusic, Central-Western Tungusic, Ulchaic","(Poronaisk:1,Val-Nogliki:1)orok1265:1;",Tungusic,nearly extinct,
ulch1241,Ulch,ulc,language,Eurasia,51.85209,140.29045,RU,"Tungusic, Central-Western Tungusic, Ulchaic",(Ulch:1);,Tungusic,nearly extinct,
udih1248,Udihe,ude,language,Eurasia,46.63086,135.67762,RU,"Tungusic, Northeastern Tungusic, Central-Eastern Tungusic, Oroch-Udihe","(Anjuski:1,Bikin:1,Iman:1,Khor:1,Khungari:1,Samargin:1,Sikhota_Alin:1)udih1248:1;",Tungusic,nearly extinct,
even1259,Evenki,evn,language,Eurasia,61.972,94.689,CN;MN;RU,"Tungusic, Northeastern Tungusic, Northern Tungusic","((Aoluguya:1,Borzya_Khamnigan_Evenki:1,(Amur_basin_Solon:1,Hulun_Buir_Solon:1,Morigele:1,Nonni_basin_Solon:1,Ongkor_Solon:1)solo1263:1,Urulyungui_Khamnigan_Evenki:1)manc1253:1,((Bareya-Amgun':1,Barguzin_Evenki:1,Chul'man-Gilyui:1,Sakhalin_Evenki:1,Uchur-Zeya:1,Vitim-Olyokma:1)east2846:1,(Ilimpeya:1,Yerbogachon:1)nort3334:1,(Hissing_Evenki:1,Hushing_Evenki:1)sout3321:1)sibe1251:1)even1259:1;",Tungusic,shifting,
kuro1242,Kur-Urmi,,language,Eurasia,48.806,134.121,CN;RU,"Tungusic, Northeastern Tungusic, Northern Tungusic, Negidalic",(Kur-Urmi:1);,Tungusic,shifting,
bolg1250,Bolgarian,xbo,language,Eurasia,48.671481,42.729234,RU,"Turkic, Bolgar",(Bolgarian:1);,Turkic,extinct,remove
pech1242,Pecheneg,xpc,language,Eurasia,47.393251,33.522692,RU,"Turkic, Common Turkic, Kipchak-Turkestan, Kipchak, Unclassified Kipchak",(Pecheneg:1);,Turkic,extinct,remove
