glottocode,language,iso,level,area,latitude,longitude,countries,affiliation,subclassification,family,endangerment,my_annotation
musl1236,Muslim Tat,ttt,language,Eurasia,41.425062,46.645589,AZ;IR;RU,"Indo-European, Classical Indo-European, Indo-Iranian, Iranian, Southwestern Iranian, Middle-Modern Persian, Modern Southwestern Iranian, Farsic-Caucasian Tat, Caucasian Tat","((Balakhani:1,Surakhani:1)absh1238:1,Mədrəsə:1,(Derbent_Muslim_Tat:1,Kilvar_Muslim_Tat:1,Qonaqkənd:1,Quba_Muslim_Tat:1,Zərnava:1,Ərüsküş-Dağ_Quşçu:1)nort2643:1,Xızı:1,(Babadağ:1,Lahıc:1,Peripheral_Şirvan_Muslim_Tat:1,Trans-Niyaldağ:1)sirv1235:1)musl1236:1;",Indo-European,moribund,
russ1263,Russian,rus,language,Eurasia,59,50,BY;CN;EE;FI;GE;KG;KP;KZ;LT;LV;MD;MN;NO;PL;RO;RU;SJ;TM;UA;UZ,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, East Slavic","(Central_Russian:1,Kodiak_Creole_Russian:1,Ninilchik:1,(Novgorod_North_Russian:1,Olonets:1,Pomor:1,Vladimir-Volga:1,Vologda-Kirov:1)nort2597:1,(Doukhobor:1,Lipovan:1,Molokan:1,Nuclear_South_Russian:1)sout2602:1)russ1263:1;",Indo-European,not endangered,
digo1242,Digor Ossetian,,language,Eurasia,43.158056,44.156944,RU,"Indo-European, Classical Indo-European, Indo-Iranian, Iranian, Central Iranian PBS, Sogdic-Ossetic, Ossetic, Modern Ossetic","(Chikola-Lesken:1,Digora:1,Jassic:1,Ursdon-Sindziqaw:1,Wallagkom:1)digo1242:1;",Indo-European,threatened,
iron1242,Iron Ossetian,oss,language,Eurasia,42.98,44.61,RU,"Indo-European, Classical Indo-European, Indo-Iranian, Iranian, Central Iranian PBS, Sogdic-Ossetic, Ossetic, Modern Ossetic","(Allagir:1,Kudar:1,Kurtat:1,Tagaur:1,Tual:1)iron1242:1;",Indo-European,threatened,
jude1256,Judeo-Tat,jdt,language,Eurasia,42.068306,48.264749,AZ;IL;RU,"Indo-European, Classical Indo-European, Indo-Iranian, Iranian, Southwestern Iranian, Middle-Modern Persian, Modern Southwestern Iranian, Farsic-Caucasian Tat, Caucasian Tat","((Derbent_Judeo-Tat:1,Quba_Judeo-Tat:1)cent2409:1,(Kaytag_Judeo-Tat:1,Northern_Cities_Judeo-Tat:1)nort3410:1,(Vartaşen_Judeo-Tat:1,Şirvan_Judeo-Tat:1)sout3389:1)jude1256:1;",Indo-European,threatened,
balt1257,Baltic Romani,rml,language,Eurasia,60,38,AL;AT;BA;BG;BY;CH;CZ;DE;EE;FI;FR;GB;GR;HR;HU;IT;LT;LV;ME;MK;NL;PL;RO;RS;RU;SI;SK;TR;UA,"Indo-European, Classical Indo-European, Indo-Iranian, Indo-Aryan, Middle-Modern Indo-Aryan, Continental Indo-Aryan, Midlands Indo-Aryan, Shaurasenic, Indo-Aryan Central zone, Romani","(Chuxny:1,Eastern_Latvia-Lithuanian_Romani:1,North_Russian_Romani:1,Polish_Romani:1,White_Russian_Romani:1)balt1257:1;",Indo-European,threatened,
nucl1302,Georgian,kat,language,Eurasia,41.850397,43.78613,AM;AZ;GE;IR;RU;TR,"Kartvelian, Georgian-Zan, Georgic","(((Lower_Kartlian:1,Upper_Kartlian:1)imer1247:1,Meskhur-Javakhuri:1)cent2387:1,(Fereydan:1,Ingilo:1,Kaxetian:1,Tianetian:1)east2870:1,(Moxev:1,Mtiuletian-Gudamaqrian:1,Pshav:1,Tush:1,Xevsur:1)nort3382:1,(((Lower_Imeretian:1,Upper_Imeretian:1)imer1248:1,Judeo-Georgian:1)imer1250:1,Racha-Lechxum:1)nort3381:1,(Adzhar:1,Gurian:1,Imerxev:1)sout3358:1)nucl1302:1;",Kartvelian,not endangered,remove
svan1243,Svan,sva,language,Eurasia,42.9134,42.5915,GE;RU,Kartvelian,"(Lashx:1,Lentex:1,Lower_Bal:1,Upper_Bal:1)svan1243:1;",Kartvelian,threatened,remove
kore1280,Korean,kor,language,Eurasia,37.54,126.98,CN;KP;KR;RU,Koreanic,"((Jollado:1,Kyongsangdo:1)chol1288:1,(Ch'ungch'ongdo:1,Hwanghaedo:1)chun1248:1,(Hamgyongdo:1,P'yong'ando:1)hamg1239:1,(Early_Middle_Korean:1,Late_Middle_Korean:1)midd1372:1,Seoul:1)kore1280:1;",Koreanic,not endangered,remove
halh1238,Halh Mongolian,khk,language,Eurasia,48.32397,106.28874,MN;RU,"Mongolic-Khitan, Mongolic, Eastern Mongolic, Khalkha-Buriat, Mongolian","(Dariganga:1,Halh:1,Khotogoit:1,Sartul:1,Tsongol:1)halh1238:1;",Mongolic,not endangered,remove
chin1476,China Buriat,bxu,language,Eurasia,48.7593,117.786,CN;MN;RU,"Mongolic-Khitan, Mongolic, Eastern Mongolic, Khalkha-Buriat, Buriat",(Bargu:1)chin1476;,Mongolic,threatened,remove
